2023-07-24 20:07:211 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (06c9acee0bcc725c2ccf8825ab56f9f1)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:261 INFO  WorkTypePage :39 - Send Text : [[ChromeDriver: chrome on windows (06c9acee0bcc725c2ccf8825ab56f9f1)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/div[1]/select[1]]
2023-07-24 20:07:414 INFO  WorkTypePage :45 - Clicking on Element : [[ChromeDriver: chrome on windows (06c9acee0bcc725c2ccf8825ab56f9f1)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/button[1]]
2023-07-24 20:07:388 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (5917d0093af6a0215b5fe04e049ded30)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:440 INFO  WorkTypePage :39 - Send Text : [[ChromeDriver: chrome on windows (5917d0093af6a0215b5fe04e049ded30)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/div[1]/select[1]]
2023-07-24 20:07:534 INFO  WorkTypePage :45 - Clicking on Element : [[ChromeDriver: chrome on windows (5917d0093af6a0215b5fe04e049ded30)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/button[1]]
2023-07-24 20:07:105 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (6257c1fa5b140b119e2d3326fda49ad3)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:154 INFO  WorkTypePage :39 - Send Text : [[ChromeDriver: chrome on windows (6257c1fa5b140b119e2d3326fda49ad3)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/div[1]/select[1]]
2023-07-24 20:07:353 INFO  WorkTypePage :45 - Clicking on Element : [[ChromeDriver: chrome on windows (6257c1fa5b140b119e2d3326fda49ad3)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/button[1]]
2023-07-24 20:07:392 INFO  SelectNationalityPage :34 - Clicking on Element : [[ChromeDriver: chrome on windows (6257c1fa5b140b119e2d3326fda49ad3)] -> xpath: //input[@id='response-0']]
2023-07-24 20:07:646 INFO  SelectNationalityPage :40 - Clicking on Element : [[ChromeDriver: chrome on windows (6257c1fa5b140b119e2d3326fda49ad3)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:925 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (6650b37665a13f46e8dc7ff7569f6edc)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:976 INFO  WorkTypePage :39 - Send Text : [[ChromeDriver: chrome on windows (6650b37665a13f46e8dc7ff7569f6edc)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/div[1]/select[1]]
2023-07-24 20:07:62 INFO  WorkTypePage :45 - Clicking on Element : [[ChromeDriver: chrome on windows (6650b37665a13f46e8dc7ff7569f6edc)] -> xpath: /html[1]/body[1]/div[3]/div[1]/main[1]/div[1]/div[1]/form[1]/div[1]/button[1]]
2023-07-24 20:07:136 INFO  SelectNationalityPage :34 - Clicking on Element : [[ChromeDriver: chrome on windows (6650b37665a13f46e8dc7ff7569f6edc)] -> xpath: //input[@id='response-0']]
2023-07-24 20:07:206 INFO  SelectNationalityPage :40 - Clicking on Element : [[ChromeDriver: chrome on windows (6650b37665a13f46e8dc7ff7569f6edc)] -> xpath: //button[contains(text(),'Continue')]]
